"year.index","mean","sd","X2.5.","X97.5.","Rhat","n.eff","year","Source","Region"
7,0.578536797374767,0.0865609422278795,0.40278184717215,0.739392815687403,1.00175394373701,1800,2009,"anti-logit Year eff","Africa"
8,0.55736317664318,0.0872043233785543,0.382094549555574,0.724302992833466,1.00092632148227,4500,2010,"anti-logit Year eff","Africa"
9,0.777083791422691,0.0589610288148117,0.647310865058788,0.876623213571527,1.00102773803397,4500,2011,"anti-logit Year eff","Africa"
10,0.775936498642377,0.0613299483021896,0.638259830180567,0.875807239593846,1.00206202870776,1400,2012,"anti-logit Year eff","Africa"
11,0.687987024045396,0.0744821950619617,0.53127993586451,0.818267932269495,1.00218010747598,1300,2013,"anti-logit Year eff","Africa"
12,0.765441560326954,0.0644882482663661,0.629302599803393,0.874917905849373,1.00068877551021,4500,2014,"anti-logit Year eff","Africa"
13,0.725014113693513,0.0682445385194008,0.576757860712854,0.840547820514265,1.00088210400241,4500,2015,"anti-logit Year eff","Africa"
14,0.721849598698627,0.0728517078371449,0.568280787092631,0.846884178279844,1.00138467642521,2800,2016,"anti-logit Year eff","Africa"
15,0.635748327675124,0.0798770084054411,0.473440536155083,0.783062381167738,1.00102019746794,4500,2017,"anti-logit Year eff","Africa"
16,0.568414243851072,0.0814229934331758,0.403187411363124,0.720512226289236,1.00070914355428,4500,2018,"anti-logit Year eff","Africa"
17,0.365966778026112,0.0800349344088626,0.224643726101547,0.533381679865282,1.00075543300726,4500,2019,"anti-logit Year eff","Africa"
18,0.289551112263348,0.0727125811243909,0.160424935466357,0.448549797966207,1.00264525174227,1000,2020,"anti-logit Year eff","Africa"
19,0.320658833544872,0.0790800555848517,0.183645286976466,0.492154946301926,1.00086514787438,4500,2021,"anti-logit Year eff","Africa"
20,0.227580548800535,0.0610949773612653,0.124518647273909,0.364698108821205,1.00117368126941,3900,2022,"anti-logit Year eff","Africa"
21,0.282817834472109,0.0702677356763745,0.160351068104955,0.434659634062641,1.0018007461209,1800,2023,"anti-logit Year eff","Africa"
22,0.282925803733758,0.0734649897118541,0.155726820326774,0.44136398083531,1.00317726529389,800,2024,"anti-logit Year eff","Africa"
23,0.209232450234156,0.0585153605506051,0.111827837884107,0.338882794336819,1.00104844269819,4500,2025,"anti-logit Year eff","Africa"
1,0.564897085855828,0.0534519717246501,0.458211047516575,0.663521280623479,1.00170835167715,1900,2003,"MM.p.uw","Central Africa"
2,0.587860607796531,0.0514385399955435,0.485702047110797,0.685811435699028,1.0010590746236,4500,2004,"MM.p.uw","Central Africa"
3,0.458634237290683,0.0613741709749675,0.336033248254086,0.580148419386532,1.00161072938289,2100,2005,"MM.p.uw","Central Africa"
4,0.427562871606735,0.0747402303740607,0.284399044689418,0.570706827139196,1.00136697664352,2900,2006,"MM.p.uw","Central Africa"
5,0.574370612214657,0.0670823015896238,0.436241545626941,0.701481882422902,1.00072210281631,4500,2007,"MM.p.uw","Central Africa"
6,0.672136951680923,0.041754461243251,0.586024637846452,0.748617433836345,1.00104738121543,4500,2008,"MM.p.uw","Central Africa"
7,0.700332205335407,0.0511210060088671,0.595168246704925,0.797501345174257,1.00104907875765,4500,2009,"MM.p.uw","Central Africa"
8,0.680255766446111,0.044092489123216,0.591343741870647,0.763872501286029,1.00104102064801,4500,2010,"MM.p.uw","Central Africa"
9,0.774832524698276,0.0327867356545249,0.704940284325743,0.833620292100643,1.00280166184073,940,2011,"MM.p.uw","Central Africa"
10,0.807628320563829,0.0324519117966081,0.735116625666266,0.86161015570956,1.00846407141371,260,2012,"MM.p.uw","Central Africa"
11,0.748913613912385,0.045462959682981,0.654480068139336,0.829860290325807,1.00106134409598,4500,2013,"MM.p.uw","Central Africa"
12,0.838011932219092,0.0348321494733834,0.756882409202795,0.888559860760619,1.00195101454412,1600,2014,"MM.p.uw","Central Africa"
13,0.802379951454126,0.0522345979532068,0.688384157168302,0.887163113186034,1.0012751237325,3300,2015,"MM.p.uw","Central Africa"
14,0.81324269599275,0.057129371028339,0.684694779004678,0.903176045045159,1.00129809192011,3200,2016,"MM.p.uw","Central Africa"
15,0.68943426963757,0.0629781277419832,0.556432238507819,0.798531253470832,1.00100151877768,4500,2017,"MM.p.uw","Central Africa"
16,0.786668803449795,0.0512967134857287,0.672277519057242,0.869050777515311,1.0010151924862,4500,2018,"MM.p.uw","Central Africa"
17,0.707212258178112,0.0704183410789347,0.562307099334539,0.829918986920429,1.00157778992604,2200,2019,"MM.p.uw","Central Africa"
18,0.45266895448382,0.0787563123770453,0.301531374101751,0.603372543210153,1.0018557956249,1700,2020,"MM.p.uw","Central Africa"
19,0.593406780236586,0.0746236241817665,0.437354781364798,0.724791900182081,1.00093908821832,4500,2021,"MM.p.uw","Central Africa"
20,0.471012271857278,0.0705613500852281,0.328326188564865,0.60377236916533,1.00068201191013,4500,2022,"MM.p.uw","Central Africa"
21,0.504334687037428,0.0730115362794587,0.361969945315554,0.646658981262282,1.00158631296345,2200,2023,"MM.p.uw","Central Africa"
22,0.520309236002582,0.086191405157172,0.345443345722285,0.678724961058779,1.00363247991784,680,2024,"MM.p.uw","Central Africa"
23,0.427567117654208,0.0722991281605621,0.288126643093487,0.571337875951224,1.00100685828692,4500,2025,"MM.p.uw","Central Africa"
1,0.334622033865006,0.0536322859793466,0.233156852086837,0.441097287550065,1.00140663872542,2700,2003,"MM.p.uw","Eastern Africa"
2,0.429167938904293,0.0486943055921035,0.332859580221468,0.521969395007157,1.0017840449035,1800,2004,"MM.p.uw","Eastern Africa"
3,0.317789113144837,0.0476629572748015,0.225635493383731,0.414424443050617,1.00189507939916,1600,2005,"MM.p.uw","Eastern Africa"
4,0.512071369461527,0.0474255023230386,0.416621108512865,0.603936271446204,1.00186097551357,1700,2006,"MM.p.uw","Eastern Africa"
5,0.361911462922091,0.0528633956551049,0.261499576807291,0.465945470588633,1.00102097717466,4500,2007,"MM.p.uw","Eastern Africa"
6,0.439480773427135,0.0499591271481277,0.341696181097171,0.536605877763858,1.00171999779706,1900,2008,"MM.p.uw","Eastern Africa"
7,0.386172078977281,0.0449649362842082,0.297814238930885,0.474180125804969,1.00386085911675,630,2009,"MM.p.uw","Eastern Africa"
8,0.551793566029408,0.0396268071775797,0.471833284920528,0.624889887394074,1.00071912671757,4500,2010,"MM.p.uw","Eastern Africa"
9,0.703719451314165,0.0288030044546492,0.645703230747737,0.758392817649286,1.00261852751642,1000,2011,"MM.p.uw","Eastern Africa"
10,0.617008616726976,0.0276889822926894,0.562227508706884,0.671573943225557,1.00145585195148,2500,2012,"MM.p.uw","Eastern Africa"
11,0.591388272933748,0.0326948624779681,0.527172156838647,0.654023435309447,1.002149653647,1300,2013,"MM.p.uw","Eastern Africa"
12,0.553170064323406,0.0384598062532616,0.478423703013475,0.628493746401618,1.00272283881491,970,2014,"MM.p.uw","Eastern Africa"
13,0.542180623112214,0.0370293762834642,0.468772530654863,0.612813780057345,1.00409716914249,590,2015,"MM.p.uw","Eastern Africa"
14,0.436898119157,0.0393768269131189,0.358524248781343,0.515151263413797,1.0017276854728,1900,2016,"MM.p.uw","Eastern Africa"
15,0.386677470999611,0.0396427557596264,0.313180215654667,0.468190077032219,1.00090245044395,4500,2017,"MM.p.uw","Eastern Africa"
16,0.441874971075655,0.0326197079018169,0.378644920733537,0.505931363807045,1.00133951238666,3000,2018,"MM.p.uw","Eastern Africa"
17,0.291412151877565,0.0359207854578681,0.223687985933987,0.365245746356332,1.00185621853564,1700,2019,"MM.p.uw","Eastern Africa"
18,0.307753410894094,0.0448330823153232,0.223452607117087,0.397345545802105,1.00145710148259,2500,2020,"MM.p.uw","Eastern Africa"
19,0.213275847851226,0.0445414861737827,0.135061732977563,0.309195647571822,1.0029546855292,880,2021,"MM.p.uw","Eastern Africa"
20,0.211699535974444,0.0368465849266441,0.14315096885405,0.285841852117997,1.00228976645362,1200,2022,"MM.p.uw","Eastern Africa"
21,0.224574004338428,0.0318528521502094,0.165080788315177,0.289177222735968,1.00130864343932,3100,2023,"MM.p.uw","Eastern Africa"
22,0.268604015409796,0.0371475326343566,0.198084178331448,0.342636686099529,1.00099625017004,4500,2024,"MM.p.uw","Eastern Africa"
23,0.176992380113773,0.0314882161105947,0.118971577936409,0.240404794974917,1.00513854430642,450,2025,"MM.p.uw","Eastern Africa"
1,0.413589384238333,0.0741787947130232,0.263221262806423,0.552528004721104,1.02214116140103,100,2003,"MM.p.uw","Southern Africa"
2,0.423821490384374,0.0694268789109977,0.281027039033446,0.553269157647441,1.00136433281872,2900,2004,"MM.p.uw","Southern Africa"
3,0.541647679853959,0.0598378793618686,0.418115486309475,0.651341621017105,1.00088316537174,4500,2005,"MM.p.uw","Southern Africa"
4,0.410083492593801,0.0713739138997931,0.269358679104945,0.547000654045305,1.00149540798583,2400,2006,"MM.p.uw","Southern Africa"
5,0.41968225228448,0.0621864825727952,0.292082511683255,0.536656081325363,1.00676075074556,350,2007,"MM.p.uw","Southern Africa"
6,0.423843679622849,0.0670577927978425,0.289982532134662,0.551239771461404,1.00795151066695,300,2008,"MM.p.uw","Southern Africa"
7,0.462240549361233,0.0592680437511356,0.337469860374586,0.570149857343277,1.00328580960948,770,2009,"MM.p.uw","Southern Africa"
8,0.510007929894044,0.0533500915761495,0.401359768699521,0.608329280797373,1.00261026762966,1000,2010,"MM.p.uw","Southern Africa"
9,0.602186523643135,0.0463902188044642,0.505622559257241,0.688500936006137,1.00792634384491,280,2011,"MM.p.uw","Southern Africa"
10,0.555910815321127,0.0463716963199087,0.46309590318625,0.642934412610573,1.00305376024002,840,2012,"MM.p.uw","Southern Africa"
11,0.510867666142015,0.0490294162425903,0.410334879068491,0.604754368485643,1.00086623959766,4500,2013,"MM.p.uw","Southern Africa"
12,0.526665117582699,0.0460724204700508,0.431292336641839,0.612993220967387,1.00225978468667,1300,2014,"MM.p.uw","Southern Africa"
13,0.559505323471509,0.0403098878272012,0.47749080683785,0.633575464985602,1.00081750746039,4500,2015,"MM.p.uw","Southern Africa"
14,0.5655519115715,0.0383678115040695,0.487206559638178,0.639043885051636,1.00216088534042,1300,2016,"MM.p.uw","Southern Africa"
15,0.55084735507857,0.0419265105371764,0.460847262278149,0.626686937786688,1.0009766101455,4500,2017,"MM.p.uw","Southern Africa"
16,0.416712955627916,0.026231899805353,0.36583489658102,0.467622091665981,1.00077675215738,4500,2018,"MM.p.uw","Southern Africa"
17,0.334735666188364,0.0281036225521183,0.279499897373956,0.389378413483605,1.00092021504257,4500,2019,"MM.p.uw","Southern Africa"
18,0.310710575284248,0.0292795541136958,0.253680542016733,0.367916071946513,1.00277206138038,950,2020,"MM.p.uw","Southern Africa"
19,0.32163300507691,0.0386353355557284,0.243484665391774,0.392132368541292,1.00164159964814,2100,2021,"MM.p.uw","Southern Africa"
