"year.index","mean","sd","X2.5.","X97.5.","Rhat","n.eff","year","Source","Region"
13,0.40529858775359,0.0585836669705453,0.294880163163187,0.523033806651386,1.00112749903633,4300,2015,"MM.p.w","Asia"
14,0.276994896421705,0.0447709991528722,0.193686209522347,0.370079988365804,1.00118318401911,3900,2016,"MM.p.w","Asia"
15,0.324951578634949,0.0500629452494699,0.23048383577812,0.428244499637057,1.00453500173155,520,2017,"MM.p.w","Asia"
16,0.332382504704982,0.0470592737720023,0.241586899538048,0.426968515963377,1.00237742943391,1200,2018,"MM.p.w","Asia"
17,0.290621193299779,0.0492889404193608,0.195969673773814,0.389230516918197,1.00404041179088,610,2019,"MM.p.w","Asia"
18,0.319989110602527,0.0527615329225353,0.224033234200874,0.426262783735448,1.00159313937517,2200,2020,"MM.p.w","Asia"
19,0.271973708314665,0.0518113539743157,0.174831833501583,0.373989911662202,1.00102732113315,4500,2021,"MM.p.w","Asia"
20,0.151862754391592,0.0438284825666807,0.0747331653112238,0.245216506781343,1.00438929920275,540,2022,"MM.p.w","Asia"
21,0.169207186642949,0.0441688059674194,0.0914954397835999,0.265210406826449,1.00240312053323,1200,2023,"MM.p.w","Asia"
22,0.195420041035582,0.0449726266527775,0.114276243940422,0.286066223203674,1.0011162106281,4400,2024,"MM.p.w","Asia"
23,0.0932867946993548,0.0373007824094099,0.0327426095934398,0.175746887740857,1.00604336874163,370,2025,"MM.p.w","Asia"
1,0.2,NA,NA,NA,NA,NA,2003,"Observed","Asia"
2,0.102040816326531,NA,NA,NA,NA,NA,2004,"Observed","Asia"
3,0.150684931506849,NA,NA,NA,NA,NA,2005,"Observed","Asia"
4,0.125,NA,NA,NA,NA,NA,2006,"Observed","Asia"
5,0.115537848605578,NA,NA,NA,NA,NA,2007,"Observed","Asia"
6,0.175732217573222,NA,NA,NA,NA,NA,2008,"Observed","Asia"
7,0.181818181818182,NA,NA,NA,NA,NA,2009,"Observed","Asia"
8,0.210526315789474,NA,NA,NA,NA,NA,2010,"Observed","Asia"
9,0.125,NA,NA,NA,NA,NA,2011,"Observed","Asia"
10,0.107648725212465,NA,NA,NA,NA,NA,2012,"Observed","Asia"
11,0.0676056338028169,NA,NA,NA,NA,NA,2013,"Observed","Asia"
12,0.121107266435986,NA,NA,NA,NA,NA,2014,"Observed","Asia"
13,0.193693693693694,NA,NA,NA,NA,NA,2015,"Observed","Asia"
14,0.186915887850467,NA,NA,NA,NA,NA,2016,"Observed","Asia"
15,0.138181818181818,NA,NA,NA,NA,NA,2017,"Observed","Asia"
16,0.125925925925926,NA,NA,NA,NA,NA,2018,"Observed","Asia"
17,0.109324758842444,NA,NA,NA,NA,NA,2019,"Observed","Asia"
18,0.165441176470588,NA,NA,NA,NA,NA,2020,"Observed","Asia"
19,0.0971428571428571,NA,NA,NA,NA,NA,2021,"Observed","Asia"
20,0.0511363636363636,NA,NA,NA,NA,NA,2022,"Observed","Asia"
21,0.062200956937799,NA,NA,NA,NA,NA,2023,"Observed","Asia"
22,0.0663716814159292,NA,NA,NA,NA,NA,2024,"Observed","Asia"
23,0.0360824742268041,NA,NA,NA,NA,NA,2025,"Observed","Asia"
